canonical,construct,stem,variable_dr,dr_col_final,map_source,accepted,dr_col_exists,cov_dr_v0,cov_bp_v0,cov_sz_v0,bp_col,sz_col,n_cohorts,readiness_old,readiness_new,readiness_changed
cclin01,,cclin,CCLIN01,cclin01,Variable DR,True,True,0.587,0.713,0.256,cclin01_,cclin01_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
cclin02,,cclin,CCLIN02,cclin02,Variable DR,True,True,0.582,0.701,,cclin02_,,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
cclin03,,cclin,CCLIN03,cclin03,Variable DR,True,True,0.589,0.706,0.253,cclin03_,cclin03_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
cclin04,,cclin,CCLIN04,cclin04,Variable DR,True,True,0.558,0.692,0.203,cclin04_,cclin04_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
cclin08,,cclin,CCLIN08,cclin08,Variable DR,True,True,0.587,0.713,0.256,cclin08_,cclin08_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
cclin09,,cclin,CCLIN09,cclin09,Variable DR,True,True,0.589,0.708,0.252,cclin09_,cclin09_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
cclin10,,cclin,CCLIN10,cclin10,Variable DR,True,True,0.589,0.707,0.257,cclin10_,cclin10_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
cclin11,,cclin,CCLIN11,cclin11,Variable DR,True,True,0.589,0.707,0.249,cclin11_,cclin11_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
cclin12,,cclin,CCLIN12,cclin12,Variable DR,True,True,0.563,,0.241,,cclin12_,2,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); data present in 2 CSVs,True
trbapp01,,trbapp,TRBAPP01,,Variable DR,False,True,0.036,0.665,,trbapp01_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp02,,trbapp,TRBAPP02,,Variable DR,False,True,0.036,0.667,,trbapp02_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp03,,trbapp,TRBAPP03,,Variable DR,False,True,0.036,0.668,,trbapp03_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp04,,trbapp,TRBAPP04,,Variable DR,False,True,0.036,0.667,,trbapp04_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp05,,trbapp,TRBAPP05,,Variable DR,False,True,0.036,0.667,,trbapp05_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp06,,trbapp,TRBAPP06,,Variable DR,False,True,0.036,0.667,,trbapp06_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp07,,trbapp,TRBAPP07,,Variable DR,False,True,0.036,0.667,,trbapp07_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp08,,trbapp,TRBAPP08,,Variable DR,False,True,0.036,0.666,,trbapp08_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp09,,trbapp,TRBAPP09,,Variable DR,False,True,0.036,0.667,,trbapp09_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
trbapp10,,trbapp,TRBAPP10,,Variable DR,False,True,0.036,0.668,,trbapp10_,,1,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,NOT USABLE — Comparable in 2 cohorts by thesaurus but data present in only 1 CSV,False
tmta01,proc_speed,tmta,TMTA01,tmta01,Variable DR,True,True,0.565,0.678,0.816,tmta01_,tmt0101_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmta01a,proc_speed,tmta,TMTA01A,tmta01a,Variable DR,True,True,0.565,0.673,0.822,tmta01a_,tmta01a_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmta01b,proc_speed,tmta,TMTA01B,tmta01b,Variable DR,True,True,0.565,0.673,0.817,tmta01b_,tmta01b_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmta02a,proc_speed,tmta,TMTA02A,tmta02a,Variable DR,True,True,0.565,0.673,0.821,tmta02a_,tmta02a_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmta02b,proc_speed,tmta,TMTA02B,tmta02b,Variable DR,True,True,0.565,0.667,0.792,tmta02b_,tmta02b_,3,PARTIAL — Defined in 3 thesauri but data present in 2 CSVs (1 cohort's data not in CSV — likely in separate file),READY — Comparable in 3 cohorts (Tier A); data present in 3 CSVs (DR neuropsych recovered 2026-05),True
tmta03,proc_speed,tmta,,,,False,False,,0.672,0.79,tmta03_,tmta03_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
tmta04,proc_speed,tmta,,,,False,False,,0.671,0.788,tmta04_,tmta04_,2,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,PARTIAL — Comparable in 2 of 3 cohorts (Tier B); usable for 2-cohort joint clustering,False
